time_s,value
0.006417,0.670908
0.006438,0.616347
0.006458,0.587906
0.006479,0.507906
0.006500,0.498692
0.006521,0.417835
0.006542,0.403057
0.006562,0.279450
0.006583,0.186423
0.006604,0.161316
0.006625,0.111240
0.006646,0.090308
0.006667,-0.020778
0.006688,-0.053398
0.006708,-0.120007
0.006729,-0.109406
0.006750,-0.115031
0.006771,-0.095929
0.006792,-0.051494
0.006812,-0.054934
0.006833,0.009094
0.006854,-0.018938
0.006875,0.043365
0.006896,0.025228
0.006917,-0.007244
0.006938,-0.024202
0.006958,-0.051615
0.006979,-0.069359
0.007000,-0.197075
0.007021,-0.263303
0.007042,-0.365630
0.007062,-0.375787
0.007083,-0.437187
0.007104,-0.497433
0.007125,-0.550137
0.007146,-0.646442
0.007167,-0.646399
0.007188,-0.726152
0.007208,-0.720543
0.007229,-0.757371
0.007250,-0.797226
0.007271,-0.875620
0.007292,-0.951415
0.007312,-0.990024
0.007333,-1.120092
0.007354,-1.202943
0.007375,-1.346916
0.007396,-1.386289
0.007417,-1.485715
0.007438,-1.596440
0.007458,-1.700202
0.007479,-1.838150
0.007500,-1.864948
0.007521,-1.946204
0.007542,-1.975138
0.007562,-2.055620
0.007583,-2.086232
0.007604,-2.152814
0.007625,-2.198342
0.007646,-2.167812
0.007667,-2.180903
0.007688,-2.139071
0.007708,-2.193320
0.007729,-2.144170
0.007750,-2.130660
0.007771,-2.120861
0.007792,-2.109459
0.007812,-2.131678
0.007833,-2.072117
0.007854,-2.055294
0.007875,-2.003665
0.007896,-2.053003
0.007917,-2.030228
0.007938,-2.026089
0.007958,-2.009348
0.007979,-1.943080
0.008000,-1.917865
0.008021,-1.822588
0.008042,-1.833978
0.008062,-1.754373
0.008083,-1.673544
0.008104,-1.564601
0.008125,-1.475629
0.008146,-1.430168
0.008167,-1.352536
0.008187,-1.327961
0.008208,-1.247397
0.008229,-1.297100
0.008250,-1.292971
0.008271,-1.304099
0.008292,-1.305271
0.008313,-1.299485
0.008333,-1.367040
0.008354,-1.358375
0.008375,-1.429365
0.008396,-1.429886
0.008417,-1.433462
0.008438,-1.372997
0.008458,-1.344466
0.008479,-1.346648
0.008500,-1.315410
0.008521,-1.326473
0.008542,-1.227642
0.008562,-1.233945
0.008583,-1.211298
0.008604,-1.226805
0.008625,-1.219535
0.008646,-1.200793
0.008667,-1.260694
0.008687,-1.254070
0.008708,-1.282772
0.008729,-1.238909
0.008750,-1.245112
0.008771,-1.179227
0.008792,-1.148297
0.008813,-1.136927
0.008833,-1.075839
0.008854,-1.052657
0.008875,-0.901136
0.008896,-0.817432
0.008917,-0.704912
0.008938,-0.651386
