freq_hz,lowpass,highpass,bandpass
3793.957764,-158.603592,21.396370,-68.603645
3899.596191,-159.231339,20.768698,-69.231262
4008.175781,-159.840836,20.159145,-69.840866
4119.778809,-160.433014,19.567007,-70.432991
4234.484375,-161.008316,18.991734,-71.008263
4352.388672,-161.567307,18.432671,-71.567345
4473.575684,-162.110703,17.889280,-72.110733
4598.137207,-162.638931,17.361025,-72.638977
4726.161621,-163.152603,16.847401,-73.152580
4857.755859,-163.652130,16.347868,-73.652092
4993.014648,-164.138046,15.861989,-74.138016
5132.039062,-164.610596,15.389255,-74.610733
5274.934570,-165.070816,14.929236,-75.070770
5421.803223,-165.518433,14.481482,-75.518486
5572.766602,-165.954361,14.045590,-75.954407
5727.933594,-166.378784,13.621137,-76.378868
5887.421387,-166.792221,13.207758,-76.792252
6051.349609,-167.194962,12.805039,-77.194977
6219.835449,-167.587387,12.412660,-77.587341
6393.019531,-167.969894,12.030236,-77.969757
6571.025391,-168.342545,11.657429,-78.342606
6753.987793,-168.706314,11.293911,-78.706093
6942.044922,-169.060837,10.939359,-79.060638
7135.330078,-169.406326,10.593475,-79.406548
7334.004883,-169.744171,10.255922,-79.744095
7538.211426,-170.073715,9.926421,-80.073578
7748.104004,-170.395584,9.604695,-80.395302
7963.832031,-170.709763,9.290452,-80.709557
8185.575684,-171.016632,8.983431,-81.016571
8413.493164,-171.316299,8.683338,-81.316650
8647.756836,-171.609863,8.389950,-81.610062
8888.543945,-171.896851,8.102992,-81.896996
9136.024414,-172.177658,7.822232,-82.177742
9390.406250,-172.452774,7.547403,-82.452568
9651.871094,-172.722549,7.278268,-82.721764
9920.616211,-172.984772,7.014614,-82.985382
10196.843750,-173.244797,6.756175,-83.243820
10480.750977,-173.497314,6.502770,-83.497238
10772.575195,-173.746078,6.254133,-83.745880
11072.525391,-173.989899,6.010051,-83.989967
11380.826172,-174.229446,5.770309,-84.229721
11697.711914,-174.466278,5.534682,-84.465355
12023.408203,-174.696869,5.302952,-84.697128
12358.185547,-174.926193,5.074895,-84.925110
12702.284180,-175.151672,4.850291,-85.149734
13055.964844,-175.371933,4.628925,-85.371078
13419.492188,-175.588577,4.410569,-85.589462
13793.126953,-175.806030,4.195008,-85.804932
14177.180664,-176.017395,3.981984,-86.018150
14571.927734,-176.230972,3.771287,-86.228775
14977.665039,-176.441513,3.562687,-86.437447
15394.683594,-176.643738,3.355921,-86.644073
15823.331055,-176.844009,3.150737,-86.849373
16263.913086,-177.061569,2.946856,-87.053062
16716.761719,-177.261139,2.744044,-87.255844
17182.220703,-177.460464,2.541971,-87.458145
17660.619141,-177.658264,2.340361,-87.659714
18152.359375,-177.862915,2.138873,-87.861053
18657.789062,-178.063019,1.937161,-88.062859
19177.292969,-178.288513,1.734870,-88.265594
19711.263672,-178.478806,1.531588,-88.468681
20260.078125,-178.662201,1.326907,-88.672935
20824.195312,-178.909912,1.120313,-88.879692
21404.019531,-179.120529,0.911320,-89.089020
21999.990234,-179.425827,0.699319,-89.300697
