time_s,dur_5_ms,dur_25_ms,dur_100_ms,dur_250_ms
0.002625,0.529166,0.105833,0.026458,0.010583
0.002646,0.533333,0.106667,0.026667,0.010667
0.002667,0.537500,0.107500,0.026875,0.010750
0.002688,0.541666,0.108333,0.027083,0.010833
0.002708,0.545833,0.109167,0.027292,0.010917
0.002729,0.550000,0.110000,0.027500,0.011000
0.002750,0.554166,0.110833,0.027708,0.011083
0.002771,0.558333,0.111667,0.027917,0.011167
0.002792,0.562500,0.112500,0.028125,0.011250
0.002813,0.566666,0.113333,0.028333,0.011333
0.002833,0.570833,0.114167,0.028542,0.011417
0.002854,0.575000,0.115000,0.028750,0.011500
0.002875,0.579166,0.115833,0.028958,0.011583
0.002896,0.583333,0.116667,0.029167,0.011667
0.002917,0.587500,0.117500,0.029375,0.011750
0.002937,0.591666,0.118333,0.029583,0.011833
0.002958,0.595833,0.119167,0.029792,0.011917
0.002979,0.600000,0.120000,0.030000,0.012000
0.003000,0.604166,0.120833,0.030208,0.012083
0.003021,0.608333,0.121667,0.030417,0.012167
0.003042,0.612500,0.122500,0.030625,0.012250
0.003062,0.616666,0.123333,0.030833,0.012333
0.003083,0.620833,0.124167,0.031042,0.012417
0.003104,0.625000,0.125000,0.031250,0.012500
0.003125,0.629166,0.125833,0.031458,0.012583
0.003146,0.633333,0.126667,0.031667,0.012667
0.003167,0.637500,0.127500,0.031875,0.012750
0.003187,0.641666,0.128333,0.032083,0.012833
0.003208,0.645833,0.129167,0.032292,0.012917
0.003229,0.650000,0.130000,0.032500,0.013000
0.003250,0.654166,0.130833,0.032708,0.013083
0.003271,0.658333,0.131667,0.032917,0.013167
0.003292,0.662500,0.132500,0.033125,0.013250
0.003312,0.666666,0.133333,0.033333,0.013333
0.003333,0.670833,0.134167,0.033542,0.013417
0.003354,0.675000,0.135000,0.033750,0.013500
0.003375,0.679166,0.135833,0.033958,0.013583
0.003396,0.683333,0.136667,0.034167,0.013667
0.003417,0.687500,0.137500,0.034375,0.013750
0.003437,0.691666,0.138333,0.034583,0.013833
0.003458,0.695833,0.139167,0.034792,0.013917
0.003479,0.700000,0.140000,0.035000,0.014000
0.003500,0.704166,0.140833,0.035208,0.014083
0.003521,0.708333,0.141667,0.035417,0.014167
0.003542,0.712499,0.142500,0.035625,0.014250
0.003563,0.716666,0.143333,0.035833,0.014333
0.003583,0.720833,0.144167,0.036042,0.014417
0.003604,0.724999,0.145000,0.036250,0.014500
0.003625,0.729166,0.145833,0.036458,0.014583
0.003646,0.733333,0.146667,0.036667,0.014667
0.003667,0.737499,0.147500,0.036875,0.014750
0.003688,0.741666,0.148333,0.037083,0.014833
0.003708,0.745833,0.149167,0.037292,0.014917
0.003729,0.749999,0.150000,0.037500,0.015000
0.003750,0.754166,0.150833,0.037708,0.015083
0.003771,0.758333,0.151667,0.037917,0.015167
0.003792,0.762499,0.152500,0.038125,0.015250
0.003813,0.766666,0.153333,0.038333,0.015333
0.003833,0.770833,0.154167,0.038542,0.015417
0.003854,0.774999,0.155000,0.038750,0.015500
0.003875,0.779166,0.155833,0.038958,0.015583
0.003896,0.783333,0.156667,0.039167,0.015667
0.003917,0.787499,0.157500,0.039375,0.015750
0.003938,0.791666,0.158333,0.039583,0.015833
0.003958,0.795833,0.159167,0.039792,0.015917
0.003979,0.799999,0.160000,0.040000,0.016000
0.004000,0.804166,0.160833,0.040208,0.016083
0.004021,0.808333,0.161667,0.040417,0.016167
0.004042,0.812499,0.162500,0.040625,0.016250
0.004062,0.816666,0.163333,0.040833,0.016333
0.004083,0.820833,0.164167,0.041042,0.016417
0.004104,0.824999,0.165000,0.041250,0.016500
0.004125,0.829166,0.165833,0.041458,0.016583
0.004146,0.833333,0.166667,0.041667,0.016667
0.004167,0.837499,0.167500,0.041875,0.016750
0.004188,0.841666,0.168333,0.042083,0.016833
0.004208,0.845833,0.169167,0.042292,0.016917
0.004229,0.849999,0.170000,0.042500,0.017000
