freq_hz,lowpass,bandpass,highpass
9920.616211,-173.259094,-83.259781,6.740228
10196.843750,-173.509338,-83.508263,6.491733
10480.750977,-173.752075,-83.751915,6.248098
10772.575195,-173.991074,-83.990944,6.009058
11072.525391,-174.225586,-84.225601,5.774421
11380.826172,-174.455994,-84.456070,5.543965
11697.711914,-174.683517,-84.682549,5.317478
12023.408203,-174.904938,-84.905334,5.094746
12358.185547,-175.125565,-85.124443,4.875566
12702.284180,-175.342499,-85.340309,4.659701
13055.964844,-175.553879,-85.553032,4.446974
13419.492188,-175.761688,-85.762894,4.237140
13793.126953,-175.970810,-85.969955,4.029998
14177.180664,-176.173843,-86.174828,3.825308
14571.927734,-176.379669,-86.377220,3.622861
14977.665039,-176.581696,-86.577698,3.422428
15394.683594,-176.776047,-86.776230,3.223770
15823.331055,-176.968155,-86.973480,3.026643
16263.913086,-177.178055,-87.169159,2.830759
16716.761719,-177.369522,-87.363976,2.635916
17182.220703,-177.559708,-87.558350,2.441790
17660.619141,-177.749283,-87.751953,2.248112
18152.359375,-177.945969,-87.945374,2.054549
18657.789062,-178.139755,-88.139252,1.860778
19177.292969,-178.356384,-88.334045,1.666452
19711.263672,-178.540665,-88.529137,1.471182
20260.078125,-178.714996,-88.725273,1.274567
20824.195312,-178.956116,-88.923843,1.076120
21404.019531,-179.157455,-89.124992,0.875368
21999.990234,-179.448608,-89.328300,0.671727
