time_s,value
0.005813,0.291667
0.005833,0.292709
0.005854,0.293750
0.005875,0.294792
0.005896,0.295834
0.005917,0.296875
0.005937,0.297917
0.005958,0.298959
0.005979,0.300000
0.006000,0.301042
0.006021,0.302084
0.006042,0.303125
0.006063,0.304167
0.006083,0.305209
0.006104,0.306251
0.006125,0.307292
0.006146,0.308334
0.006167,0.309376
0.006187,0.310417
0.006208,0.311459
0.006229,0.312501
0.006250,0.313542
0.006271,0.314584
0.006292,0.315626
0.006313,0.316667
0.006333,0.317709
0.006354,0.318751
0.006375,0.319792
0.006396,0.320834
0.006417,0.321876
0.006438,0.322917
0.006458,0.323959
0.006479,0.325001
0.006500,0.326042
0.006521,0.327084
0.006542,0.328126
0.006562,0.329167
0.006583,0.330209
0.006604,0.331251
0.006625,0.332293
0.006646,0.333334
0.006667,0.334376
0.006688,0.335418
0.006708,0.336459
0.006729,0.337501
0.006750,0.338543
0.006771,0.339584
0.006792,0.340626
0.006812,0.341668
0.006833,0.342709
0.006854,0.343751
0.006875,0.344793
0.006896,0.345834
0.006917,0.346876
0.006938,0.347918
0.006958,0.348959
0.006979,0.350001
0.007000,0.351043
0.007021,0.352084
0.007042,0.353126
0.007062,0.354168
0.007083,0.355209
0.007104,0.356251
0.007125,0.357293
0.007146,0.358335
0.007167,0.359376
0.007188,0.360418
0.007208,0.361460
0.007229,0.362501
0.007250,0.363543
0.007271,0.364585
0.007292,0.365626
0.007312,0.366668
0.007333,0.367710
0.007354,0.368751
0.007375,0.369793
0.007396,0.370835
0.007417,0.371876
0.007438,0.372918
0.007458,0.373960
0.007479,0.375001
0.007500,0.376043
0.007521,0.377085
0.007542,0.378126
0.007562,0.379168
0.007583,0.380210
0.007604,0.381252
0.007625,0.382293
0.007646,0.383335
0.007667,0.384377
0.007688,0.385418
0.007708,0.386460
0.007729,0.387502
0.007750,0.388543
0.007771,0.389585
0.007792,0.390627
0.007812,0.391668
0.007833,0.392710
0.007854,0.393752
0.007875,0.394793
0.007896,0.395835
0.007917,0.396877
0.007938,0.397918
0.007958,0.398960
0.007979,0.400002
0.008000,0.401043
0.008021,0.402085
0.008042,0.403127
0.008062,0.404168
0.008083,0.405210
0.008104,0.406252
0.008125,0.407294
0.008146,0.408335
0.008167,0.409377
0.008187,0.410419
0.008208,0.411460
0.008229,0.412502
0.008250,0.413544
0.008271,0.414585
0.008292,0.415627
0.008313,0.416669
0.008333,0.417710
0.008354,0.418752
0.008375,0.419794
0.008396,0.420835
0.008417,0.421877
0.008438,0.422919
0.008458,0.423960
0.008479,0.425002
0.008500,0.426044
0.008521,0.427085
0.008542,0.428127
0.008562,0.429169
0.008583,0.430211
0.008604,0.431252
0.008625,0.432294
0.008646,0.433336
0.008667,0.434377
0.008687,0.435419
0.008708,0.436461
0.008729,0.437502
0.008750,0.438544
0.008771,0.439586
0.008792,0.440627
0.008813,0.441669
0.008833,0.442711
0.008854,0.443752
0.008875,0.444794
0.008896,0.445836
0.008917,0.446877
0.008938,0.447919
0.008958,0.448961
0.008979,0.450002
0.009000,0.451044
0.009021,0.452086
0.009042,0.453127
0.009062,0.454169
0.009083,0.455211
0.009104,0.456253
0.009125,0.457294
0.009146,0.458336
0.009167,0.459378
0.009187,0.460419
0.009208,0.461461
0.009229,0.462503
0.009250,0.463544
0.009271,0.464586
0.009292,0.465628
0.009313,0.466669
0.009333,0.467711
0.009354,0.468753
0.009375,0.469794
0.009396,0.470836
0.009417,0.471878
0.009437,0.472919
0.009458,0.473961
0.009479,0.475003
0.009500,0.476044
0.009521,0.477086
0.009542,0.478128
0.009562,0.479169
0.009583,0.480211
0.009604,0.481253
0.009625,0.482295
0.009646,0.483336
0.009667,0.484378
0.009688,0.485420
0.009708,0.486461
0.009729,0.487503
0.009750,0.488545
0.009771,0.489586
0.009792,0.490628
0.009813,0.491670
0.009833,0.492711
0.009854,0.493753
0.009875,0.494795
0.009896,0.495836
0.009917,0.496878
0.009937,0.497920
0.009958,0.498961
0.009979,0.500003
0.010000,0.501045
0.010021,0.502086
0.010042,0.503128
0.010062,0.504170
0.010083,0.505211
0.010104,0.506253
0.010125,0.507295
0.010146,0.508336
0.010167,0.509378
0.010188,0.510420
0.010208,0.511461
0.010229,0.512503
0.010250,0.513545
0.010271,0.514586
0.010292,0.515628
0.010313,0.516670
0.010333,0.517711
0.010354,0.518753
0.010375,0.519794
0.010396,0.520836
0.010417,0.521878
0.010437,0.522919
0.010458,0.523961
0.010479,0.525003
0.010500,0.526044
0.010521,0.527086
0.010542,0.528128
0.010562,0.529169
0.010583,0.530211
0.010604,0.531253
0.010625,0.532294
0.010646,0.533336
0.010667,0.534378
0.010688,0.535419
0.010708,0.536461
0.010729,0.537503
0.010750,0.538544
0.010771,0.539586
0.010792,0.540627
0.010812,0.541669
0.010833,0.542711
0.010854,0.543752
0.010875,0.544794
0.010896,0.545836
0.010917,0.546877
0.010937,0.547919
0.010958,0.548961
0.010979,0.550002
0.011000,0.551044
0.011021,0.552086
0.011042,0.553127
0.011063,0.554169
0.011083,0.555211
0.011104,0.556252
0.011125,0.557294
0.011146,0.558336
0.011167,0.559377
0.011188,0.560419
0.011208,0.561460
0.011229,0.562502
0.011250,0.563544
0.011271,0.564585
0.011292,0.565627
0.011312,0.566669
0.011333,0.567710
0.011354,0.568752
0.011375,0.569794
0.011396,0.570835
0.011417,0.571877
0.011437,0.572919
0.011458,0.573960
0.011479,0.575002
0.011500,0.576044
0.011521,0.577085
0.011542,0.578127
0.011563,0.579169
0.011583,0.580210
0.011604,0.581252
0.011625,0.582294
0.011646,0.583335
0.011667,0.584377
0.011688,0.585418
0.011708,0.586460
0.011729,0.587502
0.011750,0.588543
0.011771,0.589585
0.011792,0.590627
0.011812,0.591668
0.011833,0.592710
0.011854,0.593752
0.011875,0.594793
0.011896,0.595835
0.011917,0.596877
0.011937,0.597918
0.011958,0.598960
0.011979,0.600002
0.012000,0.601043
0.012021,0.602085
0.012042,0.603127
0.012063,0.604168
0.012083,0.605210
0.012104,0.606251
0.012125,0.607293
0.012146,0.608335
0.012167,0.609376
0.012187,0.610418
0.012208,0.611460
0.012229,0.612501
0.012250,0.613543
0.012271,0.614585
0.012292,0.615626
0.012312,0.616668
0.012333,0.617710
0.012354,0.618751
0.012375,0.619793
0.012396,0.620835
0.012417,0.621876
0.012438,0.622918
0.012458,0.623960
0.012479,0.625001
0.012500,0.626043
0.012521,0.627084
0.012542,0.628126
0.012563,0.629168
0.012583,0.630209
0.012604,0.631251
0.012625,0.632293
