freq_hz,fc_100_hz,fc_1000_hz,fc_5000_hz,fc_20000_hz
388.283569,-78.287567,-66.835526,-66.251801,-66.227554
399.094849,-78.511597,-66.867485,-66.253212,-66.227600
410.207184,-78.736336,-66.900993,-66.254715,-66.227661
421.628906,-78.961777,-66.936104,-66.256294,-66.227722
433.368439,-79.187897,-66.972900,-66.257965,-66.227783
445.434814,-79.414612,-67.011436,-66.259727,-66.227852
457.837433,-79.641907,-67.051773,-66.261589,-66.227921
470.585358,-79.869812,-67.093987,-66.263557,-66.227997
483.688263,-80.098259,-67.138145,-66.265633,-66.228073
497.155701,-80.327164,-67.184303,-66.267822,-66.228165
510.998138,-80.556572,-67.232544,-66.270142,-66.228249
525.226257,-80.786476,-67.282928,-66.272583,-66.228340
539.850586,-81.016785,-67.335526,-66.275162,-66.228439
554.881775,-81.247498,-67.390411,-66.277893,-66.228546
570.331787,-81.478653,-67.447647,-66.280762,-66.228653
586.211731,-81.710144,-67.507309,-66.283806,-66.228767
602.534058,-81.941994,-67.569458,-66.287010,-66.228889
619.310913,-82.174187,-67.634155,-66.290390,-66.229019
636.554565,-82.406677,-67.701477,-66.293961,-66.229156
654.278320,-82.639473,-67.771469,-66.297737,-66.229301
672.495911,-82.872581,-67.844215,-66.301712,-66.229454
691.220764,-83.105942,-67.919754,-66.305916,-66.229614
710.466980,-83.339546,-67.998154,-66.310349,-66.229782
730.249084,-83.573395,-68.079468,-66.315025,-66.229965
750.581604,-83.807495,-68.163734,-66.319962,-66.230156
771.480225,-84.041756,-68.251015,-66.325165,-66.230354
792.961182,-84.276268,-68.341347,-66.330658,-66.230560
815.040283,-84.510956,-68.434769,-66.336456,-66.230789
837.734070,-84.745827,-68.531334,-66.342575,-66.231026
861.059326,-84.980843,-68.631050,-66.349022,-66.231277
885.034058,-85.216049,-68.733955,-66.355827,-66.231537
909.676758,-85.451393,-68.840073,-66.362999,-66.231819
935.005615,-85.686867,-68.949425,-66.370560,-66.232109
961.039246,-85.922470,-69.062012,-66.378548,-66.232422
987.798218,-86.158211,-69.177864,-66.386955,-66.232750
1015.301758,-86.394035,-69.296959,-66.395821,-66.233093
1043.571655,-86.629990,-69.419319,-66.405167,-66.233459
1072.628662,-86.866035,-69.544930,-66.415016,-66.233849
1102.494141,-87.102173,-69.673775,-66.425400,-66.234253
1133.191162,-87.338409,-69.805840,-66.436340,-66.234688
1164.743530,-87.574692,-69.941101,-66.447861,-66.235138
1197.174438,-87.811050,-70.079544,-66.459999,-66.235626
1230.508301,-88.047501,-70.221130,-66.472786,-66.236130
1264.769653,-88.283981,-70.365822,-66.486244,-66.236664
1299.984985,-88.520515,-70.513580,-66.500412,-66.237236
1336.181519,-88.757088,-70.664375,-66.515335,-66.237831
1373.385864,-88.993721,-70.818161,-66.531036,-66.238464
1411.626221,-89.230377,-70.974861,-66.547562,-66.239136
1450.930542,-89.467079,-71.134445,-66.564941,-66.239838
1491.329102,-89.703751,-71.296852,-66.583221,-66.240585
1532.853394,-89.940491,-71.462013,-66.602448,-66.241364
1575.533936,-90.177223,-71.629883,-66.622658,-66.242195
1619.402710,-90.413956,-71.800385,-66.643898,-66.243073
1664.492188,-90.650696,-71.973450,-66.666214,-66.243996
1710.837036,-90.887436,-72.149025,-66.689667,-66.244972
1758.473267,-91.124153,-72.327026,-66.714279,-66.246002
1807.435913,-91.360863,-72.507393,-66.740128,-66.247086
1857.760864,-91.597557,-72.690041,-66.767258,-66.248238
1909.488037,-91.834221,-72.874924,-66.795715,-66.249451
1962.654297,-92.070847,-73.061935,-66.825562,-66.250732
2017.302124,-92.307419,-73.251030,-66.856857,-66.252075
2073.471436,-92.543976,-73.442116,-66.889656,-66.253502
2131.204834,-92.780487,-73.635124,-66.924011,-66.255005
2190.543457,-93.016899,-73.829987,-66.959991,-66.256599
2251.536377,-93.253265,-74.026634,-66.997650,-66.258270
2314.227783,-93.489594,-74.224991,-67.037056,-66.260040
2378.664795,-93.725815,-74.424980,-67.078270,-66.261909
2444.893066,-93.961952,-74.626534,-67.121346,-66.263878
2512.968262,-94.198006,-74.829590,-67.166351,-66.265953
2582.938965,-94.433983,-75.034073,-67.213356,-66.268143
2654.857910,-94.669846,-75.239906,-67.262413,-66.270454
2728.779297,-94.905586,-75.447044,-67.313599,-66.272888
2804.755859,-95.141182,-75.655396,-67.366951,-66.275459
2882.850830,-95.376678,-75.864929,-67.422546,-66.278168
2963.120361,-95.612030,-76.075562,-67.480438,-66.281021
3045.625000,-95.847206,-76.287216,-67.540695,-66.284035
3130.426758,-96.082260,-76.499855,-67.603371,-66.287216
3217.586426,-96.317108,-76.713417,-67.668510,-66.290558
3307.176270,-96.551788,-76.927834,-67.736176,-66.294083
3399.260742,-96.786278,-77.143044,-67.806412,-66.297806
3493.908936,-97.020561,-77.359001,-67.879265,-66.301720
3591.192871,-97.254623,-77.575645,-67.954781,-66.305840
3691.181396,-97.488449,-77.792923,-68.033005,-66.310188
3793.957764,-97.722031,-78.010773,-68.113968,-66.314766
3899.596191,-97.955338,-78.229156,-68.197701,-66.319580
4008.175781,-98.188370,-78.448013,-68.284233,-66.324654
4119.778809,-98.421135,-78.667290,-68.373589,-66.329994
4234.484375,-98.653564,-78.886917,-68.465790,-66.335609
4352.388672,-98.885658,-79.106873,-68.560837,-66.341522
4473.575684,-99.117393,-79.327103,-68.658752,-66.347733
4598.137207,-99.348785,-79.547546,-68.759529,-66.354271
4726.161621,-99.579834,-79.768135,-68.863174,-66.361145
4857.755859,-99.810341,-79.988861,-68.969666,-66.368362
4993.014648,-100.040451,-80.209641,-69.078987,-66.375946
5132.039062,-100.270081,-80.430435,-69.191124,-66.383911
5274.934570,-100.499329,-80.651184,-69.306046,-66.392281
5421.803223,-100.727859,-80.871849,-69.423721,-66.401062
5572.766602,-100.955971,-81.092377,-69.544090,-66.410278
5727.933594,-101.183456,-81.312714,-69.667130,-66.419937
5887.421387,-101.410355,-81.532784,-69.792770,-66.430069
6051.349609,-101.636520,-81.752563,-69.920952,-66.440689
6219.835449,-101.862076,-81.971970,-70.051605,-66.451813
6393.019531,-102.086960,-82.190979,-70.184662,-66.463463
6571.025391,-102.310829,-82.409500,-70.320038,-66.475647
6753.987793,-102.534042,-82.627487,-70.457649,-66.488396
6942.044922,-102.756348,-82.844864,-70.597397,-66.501724
7135.330078,-102.977707,-83.061584,-70.739189,-66.515640
7334.004883,-103.198074,-83.277573,-70.882912,-66.530182
7538.211426,-103.417435,-83.492752,-71.028458,-66.545349
7748.104004,-103.635857,-83.707062,-71.175720,-66.561157
7963.832031,-103.852844,-83.920403,-71.324554,-66.577637
