freq_hz,lowpass,bandpass,highpass
4234.484375,-91.742462,-78.992401,-66.242355
4352.388672,-92.246185,-79.244545,-66.242912
4473.575684,-92.751465,-79.497498,-66.243515
4598.137207,-93.258423,-79.751289,-66.244156
4726.161621,-93.767090,-80.005959,-66.244812
4857.755859,-94.277641,-80.261566,-66.245491
4993.014648,-94.790146,-80.518150,-66.246178
5132.039062,-95.304703,-80.775787,-66.246864
5274.934570,-95.821457,-81.034508,-66.247551
5421.803223,-96.340523,-81.294388,-66.248230
5572.766602,-96.862076,-81.555511,-66.248917
5727.933594,-97.386292,-81.817932,-66.249580
5887.421387,-97.913277,-82.081764,-66.250237
6051.349609,-98.443230,-82.347069,-66.250877
6219.835449,-98.976357,-82.613937,-66.251495
6393.019531,-99.512871,-82.882500,-66.252106
6571.025391,-100.053017,-83.152855,-66.252701
6753.987793,-100.596985,-83.425125,-66.253281
6942.044922,-101.145020,-83.699448,-66.253830
7135.330078,-101.697502,-83.975937,-66.254364
7334.004883,-102.254623,-84.254761,-66.254883
7538.211426,-102.816772,-84.536095,-66.255379
7748.104004,-103.384354,-84.820099,-66.255859
7963.832031,-103.957672,-85.106972,-66.256317
8185.575684,-104.537033,-85.396927,-66.256760
8413.493164,-105.123177,-85.690201,-66.257179
8647.756836,-105.716431,-85.987015,-66.257584
8888.543945,-106.317284,-86.287651,-66.257973
9136.024414,-106.926392,-86.592407,-66.258347
9390.406250,-107.544441,-86.901596,-66.258698
9651.871094,-108.172150,-87.215607,-66.259033
9920.616211,-108.810234,-87.534798,-66.259354
10196.843750,-109.459610,-87.859612,-66.259659
10480.750977,-110.121017,-88.190506,-66.259949
10772.575195,-110.795937,-88.528053,-66.260231
11072.525391,-111.485069,-88.872795,-66.260498
11380.826172,-112.190056,-89.225395,-66.260750
11697.711914,-112.912254,-89.586609,-66.260986
12023.408203,-113.653526,-89.957237,-66.261208
12358.185547,-114.415192,-90.338226,-66.261429
12702.284180,-115.199524,-90.730637,-66.261627
13055.964844,-116.009659,-91.135674,-66.261818
13419.492188,-116.847374,-91.554710,-66.261993
13793.126953,-117.716095,-91.989304,-66.262169
14177.180664,-118.621109,-92.441376,-66.262337
14571.927734,-119.563629,-92.912987,-66.262482
14977.665039,-120.550903,-93.406708,-66.262627
15394.683594,-121.588303,-93.925545,-66.262756
15823.331055,-122.684006,-94.473083,-66.262886
16263.913086,-123.844177,-95.053680,-66.263000
16716.761719,-125.081924,-95.672653,-66.263115
17182.220703,-126.410309,-96.336708,-66.263214
17660.619141,-127.844353,-97.054131,-66.263313
18152.359375,-129.409149,-97.835762,-66.263390
18657.789062,-131.128357,-98.695869,-66.263474
19177.292969,-133.048386,-99.653549,-66.263542
19711.263672,-135.209534,-100.735840,-66.263611
20260.078125,-137.695633,-101.981728,-66.263664
20824.195312,-140.642593,-103.451500,-66.263718
21404.019531,-144.222366,-105.244720,-66.263748
21999.990234,-148.821365,-107.544441,-66.263786
