time_s,value
0.000000,0.000000
0.000021,0.000000
0.000042,0.000000
0.000063,0.000000
0.000083,0.000000
0.000104,0.000000
0.000125,0.000000
0.000146,0.000000
0.000167,0.000000
0.000188,0.000000
0.000208,0.000000
0.000229,0.000000
0.000250,0.000000
0.000271,0.000000
0.000292,0.000000
0.000312,0.000000
0.000333,0.000000
0.000354,0.000000
0.000375,0.000000
0.000396,0.000000
0.000417,0.000000
0.000438,0.000000
0.000458,0.000000
0.000479,0.000000
0.000500,0.000000
0.000521,0.000000
0.000542,0.000000
0.000562,0.000000
0.000583,0.000000
0.000604,-0.000577
0.000625,0.002618
0.000646,0.023197
0.000667,0.042923
0.000687,0.049231
0.000708,0.046945
0.000729,0.024768
0.000750,0.005688
0.000771,0.000381
0.000792,-0.000580
0.000813,0.000935
0.000833,0.000299
0.000854,-0.000019
0.000875,-0.000024
0.000896,-0.000195
0.000917,-0.000352
0.000937,-0.000467
0.000958,-0.000584
0.000979,-0.000693
0.001000,-0.000787
0.001021,-0.000871
0.001042,-0.000944
0.001063,-0.001007
0.001083,-0.001059
0.001104,-0.001101
0.001125,-0.001133
0.001146,-0.001157
0.001167,-0.001172
0.001187,-0.001180
0.001208,-0.001181
0.001229,-0.001175
0.001250,-0.001165
0.001271,-0.001150
0.001292,-0.001131
0.001312,-0.001110
0.001333,-0.001131
0.001354,-0.000456
0.001375,-0.000969
0.001396,-0.013280
0.001417,-0.034956
0.001438,-0.048281
0.001458,-0.050102
0.001479,-0.036976
0.001500,-0.014597
0.001521,-0.002578
0.001542,-0.000342
0.001563,-0.000989
0.001583,-0.001548
0.001604,-0.000912
0.001625,-0.000777
0.001646,-0.000707
0.001667,-0.000531
0.001688,-0.000400
0.001708,-0.000292
0.001729,-0.000187
0.001750,-0.000096
0.001771,-0.000020
0.001792,0.000044
0.001812,0.000096
0.001833,0.000137
0.001854,0.000165
0.001875,0.000184
0.001896,0.000193
0.001917,0.000192
0.001937,0.000184
0.001958,0.000169
0.001979,0.000147
0.002000,0.000120
0.002021,0.000089
0.002042,0.000055
0.002062,0.000018
0.002083,-0.000020
0.002104,-0.000059
0.002125,-0.000099
0.002146,-0.000137
0.002167,-0.000175
0.002188,-0.000210
0.002208,-0.000244
0.002229,-0.000274
0.002250,-0.000302
0.002271,-0.000326
0.002292,-0.000347
0.002313,-0.000364
0.002333,-0.000377
0.002354,-0.000386
0.002375,-0.000392
0.002396,-0.000393
0.002417,-0.000391
0.002438,-0.000386
0.002458,-0.000377
0.002479,-0.000365
