freq_hz,d_0.25,d_0.50,d_0.75
885.034058,-1.371083,-3.220813,-4.967813
909.676758,-1.409300,-3.310639,-5.106277
935.005615,-1.448585,-3.402977,-5.248608
961.039246,-1.488967,-3.497899,-5.394913
987.798218,-1.530478,-3.595483,-5.545308
1015.301758,-1.573149,-3.695794,-5.699904
1043.571655,-1.617013,-3.798918,-5.858824
1072.628662,-1.662104,-3.904933,-6.022187
1102.494141,-1.708456,-4.013919,-6.190114
1133.191162,-1.756104,-4.125961,-6.362741
1164.743530,-1.805087,-4.241149,-6.540200
1197.174438,-1.855440,-4.359571,-6.722623
1230.508301,-1.907205,-4.481321,-6.910158
1264.769653,-1.960418,-4.606487,-7.102937
1299.984985,-2.015122,-4.735172,-7.301117
1336.181519,-2.071361,-4.867480,-7.504856
1373.385864,-2.129178,-5.003511,-7.714304
1411.626221,-2.188615,-5.143373,-7.929626
1450.930542,-2.249720,-5.287174,-8.150987
1491.329102,-2.312540,-5.435030,-8.378556
1532.853394,-2.377126,-5.587062,-8.612523
1575.533936,-2.443528,-5.743384,-8.853061
1619.402710,-2.511796,-5.904126,-9.100360
1664.492188,-2.581985,-6.069410,-9.354608
1710.837036,-2.654148,-6.239377,-9.616008
1758.473267,-2.728346,-6.414161,-9.884772
1807.435913,-2.804636,-6.593904,-10.161110
1857.760864,-2.883076,-6.778749,-10.445230
1909.488037,-2.963732,-6.968848,-10.737371
1962.654297,-3.046663,-7.164354,-11.037750
2017.302124,-3.131942,-7.365436,-11.346623
2073.471436,-3.219633,-7.572254,-11.664230
2131.204834,-3.309806,-7.784981,-11.990821
2190.543457,-3.402534,-8.003786,-12.326649
2251.536377,-3.497895,-8.228868,-12.672011
2314.227783,-3.595966,-8.460409,-13.027176
2378.664795,-3.696824,-8.698608,-13.392428
2444.893066,-3.800550,-8.943660,-13.768048
2512.968262,-3.907236,-9.195786,-14.154385
2582.938965,-4.016967,-9.455205,-14.551735
2654.857910,-4.129834,-9.722139,-14.960428
2728.779297,-4.245930,-9.996823,-15.380795
2804.755859,-4.365349,-10.279491,-15.813188
2882.850830,-4.488202,-10.570411,-16.257982
2963.120361,-4.614585,-10.869843,-16.715565
3045.625000,-4.744611,-11.178061,-17.186302
3130.426758,-4.878387,-11.495340,-17.670601
3217.586426,-5.016026,-11.821968,-18.168863
3307.176270,-5.157659,-12.158276,-18.681561
3399.260742,-5.303404,-12.504571,-19.209126
3493.908936,-5.453388,-12.861179,-19.752008
3591.192871,-5.607750,-13.228465,-20.310707
3691.181396,-5.766615,-13.606756,-20.885691
3793.957764,-5.930145,-13.996470,-21.477528
3899.596191,-6.098483,-14.397989,-22.086720
4008.175781,-6.271782,-14.811716,-22.713854
4119.778809,-6.450206,-15.238096,-23.359497
4234.484375,-6.633912,-15.677555,-24.024225
4352.388672,-6.823092,-16.130611,-24.708727
4473.575684,-7.017920,-16.597736,-25.413641
4598.137207,-7.218590,-17.079456,-26.139650
4726.161621,-7.425283,-17.576294,-26.887419
