freq_hz,fc_100_hz,fc_1000_hz,fc_5000_hz,fc_20000_hz
388.283569,-74.104767,-19.796072,-3.142142,-0.229030
399.094849,-74.439857,-20.292725,-3.229116,-0.235400
410.207184,-74.764778,-20.799059,-3.318469,-0.241947
421.628906,-75.079773,-21.315077,-3.410260,-0.248675
433.368439,-75.384827,-21.840700,-3.504555,-0.255590
445.434814,-75.680153,-22.375895,-3.601418,-0.262697
457.837433,-75.965942,-22.920643,-3.700921,-0.270000
470.585358,-76.242233,-23.474779,-3.803127,-0.277506
483.688263,-76.509087,-24.038229,-3.908107,-0.285220
497.155701,-76.766777,-24.610857,-4.015930,-0.293148
510.998138,-77.015396,-25.192495,-4.126672,-0.301295
525.226257,-77.254929,-25.782982,-4.240407,-0.309668
539.850586,-77.485649,-26.382133,-4.357210,-0.318273
554.881775,-77.707672,-26.989660,-4.477154,-0.327116
570.331787,-77.920967,-27.605371,-4.600323,-0.336203
586.211731,-78.125778,-28.228987,-4.726793,-0.345541
602.534058,-78.322212,-28.860186,-4.856651,-0.355138
619.310913,-78.510269,-29.498611,-4.989974,-0.364999
636.554565,-78.690186,-30.143970,-5.126847,-0.375133
654.278320,-78.861984,-30.795841,-5.267354,-0.385547
672.495911,-79.025734,-31.453823,-5.411586,-0.396248
691.220764,-79.181610,-32.117496,-5.559629,-0.407244
710.466980,-79.329681,-32.786411,-5.711573,-0.418543
730.249084,-79.469994,-33.460072,-5.867505,-0.430153
750.581604,-79.602623,-34.137928,-6.027513,-0.442082
771.480225,-79.727730,-34.819534,-6.191695,-0.454340
792.961182,-79.845291,-35.504314,-6.360143,-0.466934
815.040283,-79.955414,-36.191677,-6.532950,-0.479875
837.734070,-80.058189,-36.881077,-6.710207,-0.493170
861.059326,-80.153664,-37.571865,-6.892007,-0.506830
885.034058,-80.241852,-38.263466,-7.078446,-0.520864
909.676758,-80.322845,-38.955193,-7.269625,-0.535282
935.005615,-80.396713,-39.646446,-7.465631,-0.550095
961.039246,-80.463493,-40.336540,-7.666559,-0.565312
987.798218,-80.523178,-41.024876,-7.872504,-0.580945
1015.301758,-80.575851,-41.710732,-8.083557,-0.597003
1043.571655,-80.621513,-42.393433,-8.299811,-0.613498
1072.628662,-80.660202,-43.072342,-8.521355,-0.630442
1102.494141,-80.691940,-43.746742,-8.748278,-0.647846
1133.191162,-80.716721,-44.416016,-8.980659,-0.665721
1164.743530,-80.734596,-45.079514,-9.218595,-0.684080
1197.174438,-80.745560,-45.736542,-9.462157,-0.702935
1230.508301,-80.749603,-46.386475,-9.711431,-0.722299
1264.769653,-80.746719,-47.028683,-9.966478,-0.742184
1299.984985,-80.736938,-47.662514,-10.227377,-0.762603
1336.181519,-80.720230,-48.287411,-10.494190,-0.783571
1373.385864,-80.696556,-48.902805,-10.766976,-0.805099
1411.626221,-80.665894,-49.508053,-11.045794,-0.827201
1450.930542,-80.628212,-50.102661,-11.330673,-0.849892
1491.329102,-80.583572,-50.686016,-11.621668,-0.873186
1532.853394,-80.531799,-51.257694,-11.918810,-0.897097
1575.533936,-80.472923,-51.817200,-12.222118,-0.921639
1619.402710,-80.406914,-52.363979,-12.531605,-0.946828
1664.492188,-80.333664,-52.897629,-12.847262,-0.972677
1710.837036,-80.253174,-53.417744,-13.169090,-0.999202
1758.473267,-80.165329,-53.923836,-13.497082,-1.026418
1807.435913,-80.070145,-54.415668,-13.831181,-1.054341
1857.760864,-79.967445,-54.892712,-14.171343,-1.082984
1909.488037,-79.857201,-55.354687,-14.517523,-1.112365
1962.654297,-79.739326,-55.801281,-14.869611,-1.142498
2017.302124,-79.613754,-56.232136,-15.227536,-1.173399
2073.471436,-79.480324,-56.647060,-15.591179,-1.205083
2131.204834,-79.338989,-57.045704,-15.960403,-1.237564
2190.543457,-79.189621,-57.427807,-16.335026,-1.270859
2251.536377,-79.032120,-57.793175,-16.714922,-1.304982
2314.227783,-78.866272,-58.141582,-17.099863,-1.339949
2378.664795,-78.692184,-58.472786,-17.489647,-1.375773
2444.893066,-78.509499,-58.786587,-17.883986,-1.412467
2512.968262,-78.318192,-59.082878,-18.282665,-1.450048
2582.938965,-78.118027,-59.361427,-18.685366,-1.488528
2654.857910,-77.908966,-59.622089,-19.091757,-1.527919
2728.779297,-77.690651,-59.864643,-19.501488,-1.568233
2804.755859,-77.463234,-60.089012,-19.914173,-1.609481
2882.850830,-77.226234,-60.295086,-20.329418,-1.651674
2963.120361,-76.979691,-60.482635,-20.746777,-1.694822
3045.625000,-76.723312,-60.651604,-21.165789,-1.738932
3130.426758,-76.456955,-60.801811,-21.585945,-1.784012
3217.586426,-76.180321,-60.933151,-22.006693,-1.830065
3307.176270,-75.893303,-61.045540,-22.427523,-1.877098
3399.260742,-75.595642,-61.138828,-22.847813,-1.925114
3493.908936,-75.287033,-61.212826,-23.266956,-1.974111
3591.192871,-74.967514,-61.267494,-23.684286,-2.024089
3691.181396,-74.636581,-61.302677,-24.099119,-2.075040
3793.957764,-74.293884,-61.318214,-24.510773,-2.126963
3899.596191,-73.939758,-61.314041,-24.918497,-2.179846
4008.175781,-73.573067,-61.289940,-25.321550,-2.233675
4119.778809,-73.194252,-61.245781,-25.719120,-2.288436
